#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
A,lf-git,is an extensive terminal file manager that everyone likes.
,bc,is used for a dropdown calculator.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,arandr,allows the user to customize monitor arrangements.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
,firefox,is a good browser. Stop using chrome.
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controller.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,maim,can take quick screenshots at your request.
A,abook,is an offline addressbook usable by neomutt.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,lynx,is a terminal browser.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,enables the mounting of cell phones.
A,htop-vim-git,is a graphical and colorful system monitor.
G,https://github.com/LukeSmithxyz/dwmblocks,serves as the modular status bar.
G,https://github.com/LukeSmithxyz/dmenu,runs commands and provides a UI for selection.
G,https://github.com/LukeSmithxyz/st,is Luke’s custom build of suckless's terminal emulator.
G,https://github.com/windowsagent/dwm,is the window manager.
A,mutt-wizard-git,is a light-weight terminal-based email system.
A,spotify,"is propietary garbage I use to listen music, because I’m a conzoomer"
,wine,is a program which allows you running a ton of windows software in linux
,Wine-tricks,is a tool to manage wine
A,Bottles-git,is a tool to manage wine prefixes
A,Grapejuice-git,"makes it easier to play roblox, and waste your time"
,plank,is my dock of choice.
,conky,is a tool for reading system info
A,Conky-lua,looks cool in my wallpaper
A,Spotify-adblock,is a patch to block ads on spotify
,,
A,ksuperkey,lets you press (super) for opening up xfce4-whisker-menu
A,Lightdm-slick-greeter,is my greeter for lightdm of choice
,File-roller,makes archives
,Thunar-archive-plugin,integrates file-roller with xfce’s thunar
,Ttf-hack,font for da terminal
A,Blex-Mono-Medium-Nerd-Complete,font for da system
,pavucontrol,allows you to graphically make more complex audio adjustments
